ADM1	PLACE_ID	LAT	LON	NAMEAD.06	G3039162	42.5	1.5	Sant Julia de Loria
AO.03	G2243266	-4.9	12.4	Cabinda
AO.19	G2243598	-9.0	13.8	Bengo Province
AO.13	G3347016	-15.3	12.7	Namibe Province
AO.09	G3348303	-14.7	15.0	Huila Province
AO.08	G3348310	-12.5	15.7	Huambo
AO.07	G3349096	-16.5	15.4	Cunene Province
AO.06	G3349234	-10.8	15.0	Cuanza-Sul
AO.02	G3351640	-12.3	17.3	Provincia do Bie
AO.01	G3351660	-12.9	13.9	Benguela
AR.14	G3430657	-26.8	-54.3	Misiones Province
AR.09	G3433896	-25.0	-60.0	Formosa Province
AR.07	G3433955	-34.6	-58.5	Ciudad Autonoma de Buenos Aires
AR.08	G3434137	-32.0	-59.0	Entre Rios Province
AR.06	G3435214	-29.0	-58.0	Corrientes Province
AR.01	G3435907	-36.0	-60.0	Buenos Aires
AR.24	G3833578	-27.0	-65.5	Tucuman Province
AR.23	G3834450	-54.5	-67.0	Tierra del Fuego Province
AR.22	G3835868	-28.0	-63.5	Santiago del Estero Province
AR.21	G3836276	-31.0	-61.0	Santa Fe Province
AR.20	G3836350	-49.0	-70.0	Santa Cruz Province
AR.19	G3837029	-34.0	-66.0	San Luis Province
AR.18	G3837152	-31.0	-69.0	San Juan Province
AR.17	G3838231	-24.8	-65.4	Salta Province
AR.16	G3838830	-40.0	-67.0	Rio Negro Province
AR.15	G3843122	-39.0	-70.0	Neuquen Province
AR.13	G3844419	-34.5	-68.5	Mendoza Province
AR.12	G3848949	-29.6	-67.0	La Rioja Province
AR.11	G3849574	-37.0	-66.0	La Pampa Province
AR.10	G3853404	-23.0	-66.0	Jujuy Province
AR.05	G3860255	-32.0	-64.0	Cordoba Province
AR.04	G3861244	-44.0	-69.0	Chubut Province
AR.03	G3861887	-26.3	-60.5	Chaco Province
AR.02	G3862286	-27.0	-67.0	Catamarca Province
AS.050	G5880873	-14.3	-170.8	Western District
AS.040	G5881199	-11.1	-171.1	Swains Island
AS.010	G5881219	-14.3	-170.7	Eastern District
AS.020	G5881436	-14.2	-169.5	Manu'a District
AS.030	G7309441	-14.5	-168.2	Rose Atoll
AT.09	G2761367	48.2	16.4	Wien
AT.08	G2762300	47.2	9.9	Vorarlberg
AT.07	G2763586	47.2	11.3	Tirol
AT.06	G2764581	47.2	15.2	Steiermark
AT.05	G2766823	47.4	13.2	Salzburg
AT.04	G2769848	48.2	14.0	Oberoesterreich
AT.03	G2770542	48.3	15.8	Niederoesterreich
AT.02	G2774686	46.8	13.8	Kaernten
AT.01	G2781194	47.5	16.4	Burgenland
AU.08	G2058645	-25.0	122.0	State of Western Australia
AU.05	G2061327	-30.0	135.0	State of South Australia
AU.03	G2064513	-20.0	134.0	Northern Territory
AU.07	G2145234	-37.0	145.0	State of Victoria
AU.06	G2147291	-42.0	147.0	State of Tasmania
AU.04	G2152274	-20.0	145.0	State of Queensland
AU.02	G2155400	-33.0	146.0	State of New South Wales
AU.01	G2177478	-35.5	149.0	Australian Capital Territory
AX.211	G9611689	60.1	19.9	Mariehamns stad
AX.212	G9611692	60.2	19.9	Alands landsbygd
AX.213	G9611694	60.2	20.7	Alands skaergard
AZ.12	G146879	39.8	47.7	Beylagan Rayon
AZ.69	G146900	39.1	46.7	Zangilan Rayon
AZ.66	G146962	38.9	48.2	Yardymli Rayon
AZ.55	G147163	39.7	46.7	Susa Rayonu
AZ.49	G147269	39.7	49.0	Salyan Rayon
AZ.46	G147284	39.9	48.7	Sabirabad Rayon
AZ.45	G147287	39.8	48.4	Saatly Rayon
AZ.13	G147310	39.5	48.4	Bilasuvar Rayon
AZ.36	G147422	39.3	49.0	Neftchala Rayon
AZ.35	G147435	39.2	45.4	Nakhchivan Autonomous Republic
AZ.32	G147551	39.0	48.7	Masally District
AZ.31	G147610	38.8	48.4	Lerik Rayon
AZ.29	G147613	38.7	48.8	Lankaran Rayon
AZ.28	G147626	39.7	46.4	Lacin Rayonu
AZ.43	G147694	39.3	46.6	Qubadli Rayon
AZ.24	G147983	39.8	48.1	Imishli Rayon
AZ.18	G148107	39.6	47.3	Fizuli Rayon
AZ.14	G148140	39.3	47.0	Jabrayil District
AZ.15	G148155	39.2	48.5	Jalilabad
AZ.08	G148442	38.5	48.7	Astara District
AZ.64	G148449	39.8	46.8	Xocali Rayonu
AZ.02	G148615	40.0	47.4	Aghjabadi Rayon
AZ.03	G148617	40.0	47.0	Aghdam Rayon
AZ.07	G409417	40.0	48.9	Shirvan
AZ.30	G409418	38.7	48.8	Lankaran Sahari
AZ.56	G409419	39.8	46.8	Shusha
AZ.57	G409420	40.3	46.9	Tartar Rayon
AZ.61	G409421	39.8	46.8	Xankandi Sahari
AZ.65	G409423	39.7	47.0	Khojavend District
AZ.71	G584583	40.2	47.8	Zardab Rayon
AZ.70	G584604	41.6	46.7	Zaqatala Rayon
AZ.67	G584650	40.7	47.0	Yevlakh Rayon
AZ.37	G584742	41.1	47.5	Oghuz Rayon
AZ.59	G584783	40.4	47.8	Ujar Rayon
AZ.58	G584861	41.0	45.8	Tovuz Rayon
AZ.50	G585030	40.6	48.7	Shamakhi Rayon
AZ.47	G585031	41.1	47.2	Shaki Rayon
AZ.51	G585059	40.8	46.1	Shamkir Rayon
AZ.27	G585686	40.2	48.2	Kurdamir Rayon
AZ.38	G585738	40.9	47.8	Qabala Rayon
AZ.44	G585749	41.4	48.2	Qusar Rayon
AZ.42	G585786	41.2	48.4	Quba Rayon
AZ.62	G585967	40.5	46.3	Goygol Rayon
AZ.60	G586001	41.6	48.8	Khachmaz Rayon
AZ.26	G586047	40.1	46.2	Kalbajar District
AZ.40	G586087	41.3	45.1	Qazakh Rayon
AZ.21	G586112	40.6	46.7	Goranboy Rayon
AZ.39	G586290	41.3	46.8	Qakh Rayon
AZ.25	G586320	40.8	48.2	Ismayilli Rayon
AZ.22	G586482	40.6	47.8	Goychay Rayon
AZ.17	G586725	41.2	48.8	Shabran Rayon
AZ.16	G586771	40.4	46.0	Dashkasan Rayon
AZ.10	G587010	41.8	46.4	Balakan Rayon
AZ.11	G587056	40.3	47.2	Barda Rayon
AZ.09	G587081	40.4	49.7	Baku City
AZ.01	G587245	40.4	49.3	Absheron Rayon
AZ.06	G587342	40.5	48.3	Aghsu Rayon
AZ.04	G587376	40.6	47.4	Aghdash Rayon
AZ.19	G627535	40.5	45.7	Gadabay Rayon
AZ.05	G828297	41.2	45.5	Aghstafa Rayon
AZ.20	G828298	40.7	46.3	Ganja City
AZ.33	G828299	40.8	47.0	Mingacevir City
AZ.34	G828300	40.5	46.8	Naftalan City
AZ.41	G828301	40.5	49.0	Gobustan Rayon
AZ.52	G828302	40.9	46.4	Samukh Rayon
AZ.48	G828303	41.2	47.2	Shaki city
AZ.53	G828304	41.0	49.1	Siazan Rayon
AZ.54	G828305	40.6	49.6	Sumqayit City
AZ.63	G828306	40.8	49.2	Khizi Rayon
AZ.68	G828307	40.6	47.2	Yevlakh City
AZ.23	G828315	40.1	48.9	Hajigabul Rayon
BA.01	G3229999	44.0	17.6	Federation of Bosnia and Herzegovina
BA.02	G3230000	44.7	17.4	Republika Srpska
BA.BRC	G3294903	44.8	18.8	Brcko
BB.11	G3373551	13.2	-59.6	Saint Thomas
BB.10	G3373553	13.1	-59.5	Saint Philip
BB.09	G3373554	13.3	-59.6	Saint Peter
BB.08	G3373557	13.1	-59.6	Saint Michael
BB.07	G3373565	13.3	-59.6	Saint Lucy
BB.06	G3373568	13.2	-59.5	Saint Joseph
BB.05	G3373569	13.2	-59.5	Saint John
BB.04	G3373570	13.2	-59.6	Saint James
BB.03	G3373572	13.1	-59.5	Saint George
BB.02	G3373580	13.2	-59.6	Saint Andrew
