exclusion,category
але,stopword
без,stopword
де,stopword
так,stopword
усі,stopword
бо,stopword
за,stopword
на,stopword
нан,stopword
по,stopword
от,stopword
привет,greeting
privet,greeting
priviet,greeting
полезная,adjective
страна,place.general
оон,stopword
как,stopword
эта,stopword
или,noun
мда,noun
жабер,noun
вам,noun
ниша,noun
нем,noun
ошибка,noun
центр,noun
хорошая,noun
ага,noun
правда,noun
раздел,noun
нужна,noun
деньги,noun
защита,noun
жалобы,noun
основной,noun
белые,noun
движки,noun
второй,noun
главный,noun
сети,noun
обзор,noun
первый,noun
главный,noun
система,noun
большой,noun
старт,noun
там,stopword
до,stopword
наш,stopword
но,stopword
об,stopword
оп,pronoun
он,pronoun
они,pronoun
юг,directional
би,stopword
ва,stopword
ви,stopword
гу,stopword
до,stopword
ек,stopword
ин,stopword
ит,stopword
ко,stopword
мо,stopword
не,stopword
но,stopword
об,stopword
од,stopword
он,stopword
те,stopword
то,stopword
