exclusion,category
cougar,animal
coyote,animal
crab,animal
crow,animal
dog,animal
dove,animal
duck,animal
eagles,animal
foxes,animal
frog,animal
gazelle,animal
goose,animal
gopher,animal
gorilla,animal
hawks,animal
horse,animal
kangaroo,animal
leopard,animal
lion,animal
mammal,animal
mice,animal
mink,animal
mosquito,animal
mule,animal
panda,animal
panther,animal
parakeet,animal
penguin,animal
pig,animal
raccoon,animal
ram,animal
rodent,animal
seabird,animal
shark,animal
snail,animal
snake,animal
spider,animal
swan,animal
terrier,animal
tiger,animal
tuna,animal
turtle,animal
warthog,animal
wolfs,animal
worms,animal
zebra,animal
chien,animal.fre
ago,article
also,article
how,article
not,article
the,article
too,article
who,article
moi,article.fre
qui,article.fre
sans,article.fre
cé,article.ita
che,article.ita
gli,article.ita
tra,article.ita
tras,article.ita
uni,article.ita
tudo,article.por
acuario,astrology
aquarius,astrology
aries,astrology
capricorn,astrology
capricornio,astrology
gemini,astrology
libra,astrology
pisces,astrology
sagittarius,astrology
scorpio,astrology
tauro,astrology
taurus,astrology
virgo,astrology
arm,bodypart
arms,bodypart
body,bodypart
eye,bodypart
eyes,bodypart
gills,bodypart
hind,bodypart
leg,bodypart
lung,bodypart
neck,bodypart
nose,bodypart
skin,bodypart
tail,bodypart
black,color
blue,color
bronze,color
brown,color
cobalt,color
crimson,color
cyan,color
gray,color
green,color
grey,color
magenta,color
maroon,color
orange,color
purple,color
red,color
rouge,color
tan,color
white,color
yellow,color
blanc,color.fre
nero,color.ita
democracy,concept.politics
kingdom,concept.politics
adam and eve,concept.religion
ala,concept.religion
allah,concept.religion
christ,concept.religion
creed,concept.religion
devil,concept.religion
god,concept.religion
holy,concept.religion
islam,concept.religion
jesus,concept.religion
jihad,concept.religion
karma,concept.religion
koran,concept.religion
lent,concept.religion
passover,concept.religion
quran,concept.religion
sharia,concept.religion
sins,concept.religion
spirit,concept.religion
cont,contraction
dont,contraction
isnt,contraction
ive,contraction
you're,contraction
bottom,directional
east,directional
east central,directional
eastern,directional
left,directional
north,directional
north central,directional
north east,directional
north eastern,directional
north west,directional
north western,directional
north-east,directional
north-eastern,directional
north-west,directional
north-western,directional
northeast,directional
northern,directional
northwest,directional
right,directional
south,directional
